accX,accY,accZ,Behavior
0.0888,-2.6352,0.1325,t
3.5699,0.4783,2.6383,t
-0.3201,1.4267,0.6327,t
-0.1701,-0.1826,0.4789,t
0.1288,0.5477,0.3038,t
-0.1113,0.8678,2.1344,t
-0.1563,0.4908,1.8568,t
-0.0425,0.1494,1.0203,t
0.237,-0.3495,1.0578,t
-0.0588,-0.0932,1.1054,t
-0.1,-0.0531,0.9566,t
-0.0869,-0.1638,0.9528,t
-0.0869,0.0263,1.0178,t
0.1094,-0.2345,0.9222,s
0.1094,-0.2501,0.9378,s
0.125,-0.2345,0.9222,s
0.125,-0.2345,0.9378,s
0.1094,-0.2501,0.9378,s
0.1094,-0.2501,0.9378,s
0.125,-0.2501,0.9378,s
0.125,-0.2345,0.9378,s
0.125,-0.2501,0.9378,s
0.125,-0.2345,0.9222,s
0.125,-0.2345,0.9378,s
0.1094,-0.2345,0.9378,s
0.1094,-0.2501,0.9378,s
0.1094,-0.2501,0.9222,s
0.125,-0.2501,0.9222,s
0.1094,-0.2657,0.9378,s
0.1094,-0.2345,0.9378,s
0.1094,-0.2345,0.9222,s
0.1244,-0.2345,0.9522,s
0.1107,-0.2345,0.9247,s
-0.095,-0.4364,0.8947,l
-0.1094,-0.422,0.9378,l
-0.0938,-0.3751,0.9222,l
-0.1563,-0.5002,0.9534,l
-0.1876,-0.4689,0.8753,l
-0.1876,-0.4064,0.8128,l
-0.2188,-0.4533,0.8909,l
-0.2032,-0.4376,0.8753,l
-0.2188,-0.4533,0.8597,l
-0.2188,-0.5158,0.844,l
-0.2501,-0.5002,0.8753,l
-0.1876,-0.3908,0.7971,l
-0.2657,-0.5158,0.844,l
-0.1876,-0.5158,0.844,l
-0.1876,-0.4845,0.8284,l
-0.2345,-0.5314,0.844,l
-0.2188,-0.5158,0.844,l
-0.2188,-0.5002,0.7659,l
-0.2188,-0.5627,0.8284,l
-0.2188,-0.4845,0.7971,l
-0.2032,0.3439,0.8909,t
-0.2032,0.3439,0.8909,t
-0.2032,0.3439,0.8909,t
-0.2032,0.3439,0.8909,t
-0.2032,0.3439,0.8909,t
-0.1407,0.2813,0.9378,t
-0.2126,0.5064,1.141,t
-0.7221,0.4814,0.8659,t
1.5286,0.0438,0.3782,t
0.4408,0.2938,0.3564,t
-0.9691,1.3442,0.2813,t
-0.8096,0.0938,0.9784,t
-0.4877,-0.1657,1.2504,t
-0.075,0.322,0.9753,t
0.1282,0.8628,0.5502,t
-0.1157,0.4626,0.8284,t
-0.1876,0.3282,0.8909,t
-0.1719,0.3595,0.8597,t
-0.2032,0.3282,0.9065,t
-0.1876,0.3126,0.9065,t
0.0469,-0.1926,0.9534,s
0.0513,-0.1988,0.9578,s
0.055,-0.1876,0.9653,s
0.0344,-0.1907,0.9534,s
0.0494,-0.1982,0.9559,s
0.0606,-0.1738,0.9691,s
0.0469,-0.1876,0.9666,s
0.0469,-0.1876,0.9378,s
0.0782,-0.1876,0.9378,s
0.0469,-0.1876,0.9534,s
0.0625,-0.1876,0.9691,s
0.0469,-0.1876,0.9534,s
0.0469,-0.1876,0.9691,s
0.0782,-0.1876,0.9691,s
0.0313,-0.1876,0.9691,s
0.0469,-0.2032,0.9534,s
0.0469,-0.1719,0.9534,s
0.0469,-0.1876,0.9691,s
0.0625,-0.1876,0.9691,s
0.0469,-0.1876,0.9691,s
0.125,-0.156,0.965,l
0.099,-0.156,0.943,l
0.094,-0.156,0.963,l
0.094,-0.18,0.969,l
0.071,-0.165,0.969,l
0.041,-0.135,0.969,l
0.051,-0.125,0.949,l
0.063,-0.144,0.938,l
0.045,-0.156,0.955,l
0.031,-0.14,0.969,l
0.016,-0.125,0.984,l
-0.014,-0.111,0.987,l
-0.031,-0.106,0.969,l
-0.043,-0.114,0.969,l
-0.063,-0.094,0.969,l
-0.054,-0.094,0.978,l
-0.046,-0.094,1,l
-0.094,-0.1,1,l
-0.099,-0.12,1,l
-0.125,-0.098,0.997,l
0.0938,-0.125,0.9534,t
0.0938,-0.1094,0.9534,t
0.0938,-0.125,0.9691,t
0.1094,-0.1094,0.9534,t
0.1094,-0.1094,0.9691,t
0.1094,-0.125,0.9222,t
0.1719,-0.2501,1.0941,t
-1.266,1.2973,1.5943,t
0.422,1.5161,1.6412,t
-0.3126,1.0472,0.6721,t
0.1719,-0.3751,-0.4533,t
0.0819,-1.4405,0.8672,t
-0.1232,0.3845,1.5836,t
-0.2782,-0.1407,-0.0781,t
0.1363,-0.7202,-0.5227,t
-0.0631,0.1657,0.8503,t
0.0794,0.1507,0.9478,t
0.1125,0.0044,0.9978,t
-0.0063,-0.0406,0.9065,t
0.0613,0.0456,0.9422,t
0.0388,-0.1801,0.9541,s
0.0388,-0.1801,0.9616,s
0.0469,-0.1719,0.9603,s
0.0531,-0.1782,0.9691,s
0.0569,-0.1876,0.9634,s
