accX,accY,accZ,behavior
-0.031,0.953,0.203,s
-0.031,0.953,0.203,s
-0.031,0.953,0.203,s
-0.031,0.969,0.203,s
-0.016,0.969,0.203,s
-0.031,0.969,0.203,s
-0.031,0.953,0.203,s
-0.031,0.953,0.203,s
-0.031,0.953,0.203,s
-0.031,0.969,0.203,s
-0.016,0.969,0.203,s
-0.031,0.969,0.203,s
-0.031,0.953,0.203,s
-0.031,0.953,0.203,s
-0.031,0.953,0.203,s
-0.016,0.969,0.203,s
-0.031,0.969,0.203,s
-0.031,0.953,0.203,s
-0.031,0.953,0.203,s
-0.031,0.969,0.203,s
-0.031,0.969,0.203,s
-0.031,0.969,0.203,s
-0.031,0.953,0.203,s
-0.031,0.953,0.203,s
-0.031,0.969,0.203,s
-0.031,0.969,0.203,s
-0.031,0.969,0.203,s
-0.031,0.953,0.203,s
-0.031,0.953,0.203,s
-0.031,0.969,0.203,s
-0.031,0.969,0.219,s
-0.016,0.969,0.172,s
-0.016,0.969,0.172,s
-0.016,0.969,0.172,s
-0.016,0.969,0.172,s
-0.016,0.969,0.172,s
-0.016,0.969,0.172,s
-0.016,0.969,0.172,s
-0.016,0.969,0.172,s
-0.016,0.969,0.172,s
-0.016,0.969,0.172,s
-0.016,0.969,0.172,s
-0.016,0.969,0.172,s
-0.016,0.969,0.172,s
-0.016,0.969,0.172,s
-0.016,0.969,0.172,s
-0.016,0.969,0.172,s
-0.016,0.969,0.172,s
-0.016,0.969,0.172,s
-0.016,0.969,0.172,s
-0.016,0.969,0.172,s
-0.016,0.969,0.172,s
-0.016,0.969,0.172,s
-0.016,0.969,0.172,s
-0.016,0.969,0.172,s
-0.016,0.969,0.172,s
-0.016,0.969,0.172,s
-0.004,0.969,0.16,s
-0.013,0.969,0.156,s
-0.016,0.969,0.169,s
-0.002,0.969,0.172,s
-0.014,0.969,0.172,s
-0.016,0.969,0.156,s
0,0.969,0.172,s
-0.016,0.969,0.156,s
-0.016,0.969,0.156,s
-0.016,0.969,0.156,s
-0.016,0.969,0.156,s
-0.016,0.969,0.156,s
-0.016,0.969,0.156,s
0,0.969,0.156,s
0,0.969,0.156,s
-0.016,0.969,0.156,s
0,0.969,0.156,s
0,0.969,0.156,s
0,0.969,0.156,s
0,0.969,0.156,s
0,0.969,0.156,s
0,0.969,0.156,s
0,0.969,0.156,s
-0.016,0.969,0.156,s
0,0.969,0.156,s
0,0.969,0.156,s
0,0.969,0.156,s
0,0.969,0.156,s
0,0.969,0.156,s
0,0.969,0.156,s
0,0.969,0.156,s
0,0.969,0.156,s
0,0.969,0.156,s
-0.016,0.969,0.156,s
-0.016,0.969,0.156,s
0,0.969,0.156,s
0,0.969,0.156,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.969,0.156,s
0,0.969,0.156,s
0,0.969,0.156,s
0,0.969,0.156,s
0,0.969,0.156,s
0,0.969,0.141,s
0,0.969,0.156,s
0,0.969,0.156,s
0,0.969,0.156,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.973,0.141,s
0,0.985,0.141,s
0,0.98,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.978,0.141,s
0,0.975,0.141,s
0,0.98,0.141,s
0,0.985,0.141,s
0,0.973,0.129,s
0,0.969,0.138,s
0,0.969,0.141,s
0,0.983,0.141,s
0,0.97,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.985,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
0,0.969,0.141,s
-0.0156,0.1407,0.9691,t
-0.0181,0.1407,0.9691,t
-0.0275,0.1425,0.9691,t
-0.0013,0.1576,0.9691,t
-0.0156,0.1719,0.9691,t
0,0.1563,0.9691,t
0,0.1719,0.9847,t
-0.0313,0.1719,0.9691,t
0.0313,0.1094,0.9065,t
-0.0782,0.2501,0.9222,t
-0.0156,0.2188,0.9691,t
-0.0156,0.1876,0.9378,t
-0.0156,0.2188,0.9534,t
-0.0156,0.1876,0.9534,t
-0.0156,0.1876,0.9534,t
-0.0156,0.1719,0.9534,t
0.0156,0.1719,0.9691,t
-0.0156,0.1407,0.9534,t
-0.0156,0.2032,0.9847,t
-0.0156,0.1876,0.9691,t
-0.0156,0.1876,0.9691,t
-0.0313,0.2032,0.9534,t
-0.0313,0.1876,0.9691,t
-0.3908,0.1876,1.1566,t
0.1094,0.7971,0.9378,t
0.1563,0.3751,0.9691,t
-0.125,0.1563,0.9691,t
-0.1094,0.1563,0.9691,t
-0.0156,0.2032,0.9847,t
-0.0469,0.2032,0.9691,t
-0.0469,0.2032,0.9378,t
-0.0469,0.1876,0.9691,t
-0.0156,0.2032,0.9534,t
-0.0156,0.1876,0.9691,t
-0.0156,0.1876,0.9691,t
-0.0313,0.2032,0.9691,t
-0.0156,0.1719,0.9847,t
-0.0469,0.125,0.9534,t
-0.0469,0.1719,0.9691,t
-0.0313,0.1563,0.9847,t
-0.0469,0.1563,0.9847,t
-0.0313,0.1563,0.9691,t
-0.0156,0.1563,0.9847,t
-0.0625,0.1563,0.9847,t
-0.0625,0.1563,0.9691,t
-0.0625,0.125,0.9847,t
-0.0625,0.1094,0.9847,t
-0.0938,0.1094,0.9691,t
-0.0938,0.0938,0.9847,t
-0.0782,0.1407,1.0003,t
-0.0782,-0.0156,0.9065,t
-0.1563,0.1876,1.0628,t
-0.0938,0.0782,0.9534,t
-0.1407,0.1407,0.9378,t
-0.1094,0.1094,0.9847,t
-0.0782,0.0938,0.9847,t
-0.3632,-0.0113,0.9097,t
-0.0013,-1.1948,1.0503,t
-0.1475,0.9309,0.4852,t
0.1038,1.0772,1.0497,t
-0.4439,0.1219,0.8471,t
-0.2732,0.0925,0.4451,t
-0.0369,-0.9578,2.2345,t
-0.0269,0.0438,1.2692,t
0.1432,-0.1213,0.9391,t
0.1563,-0.2751,1.0066,t
0.0063,-0.08,0.919,t
-0.1438,0.0932,0.9372,t
0.0363,0.0331,1.0047,t
0.1544,-0.2257,0.9703,t
-0.0719,-0.2532,0.9065,t
-0.1263,-0.287,1.0191,t
-0.1563,-0.252,0.9741,t
-0.1257,-0.1213,0.9891,t
-0.0431,-0.02,0.9928,t
-0.0344,0.0125,0.9722,t
-0.0469,0.0125,0.9797,t
-0.0469,0.0782,0.9572,t
-0.0444,0.0756,0.9834,t
-0.0156,0.0469,0.9691,t
-0.0469,0.0625,0.9847,t
-0.0625,0.0625,0.9847,t
-0.0469,0.0782,1.0003,t
-0.0625,0.0938,0.9847,t
-0.0469,0.0938,0.9534,t
-0.0313,0.0625,0.9691,t
-0.0469,0.0938,0.9847,t
-0.0156,0.0782,0.9691,t
-0.0313,0.0938,0.9847,t
-0.0469,0.1094,0.9691,t
-0.0313,0.1094,0.9691,t
-0.0469,0.0938,0.9691,t
-0.0625,0.0938,0.9691,t
-0.0469,0.0938,0.9691,t
-0.0313,0.1094,0.9691,t
-0.0469,0.0938,0.9847,t
-0.0313,0.0782,0.9691,t
-0.0313,0.0938,0.9691,t
-0.0469,0.0938,0.9847,t
-0.0313,0.1094,0.9847,t
-0.0313,0.1094,0.9691,t
-0.0625,0.0938,0.9691,t
-0.0313,0.1094,0.9847,t
-0.0313,0.0938,0.9691,t
-0.0313,0.0938,0.9691,t
-0.0313,0.0938,0.9691,t
-0.0313,0.0938,0.9691,t
-0.0313,0.0938,0.9691,t
-0.0588,0.1075,0.9828,t
-0.0363,0.0963,0.9847,t
-0.0438,0.0938,0.9847,t
-0.0469,0.1057,0.9847,t
-0.0469,0.1094,0.9734,t
-0.0469,0.0988,0.9797,t
-0.0469,0.1038,0.9847,t
-0.0469,0.1,0.9847,t
-0.0469,0.0938,0.9759,t
-0.0469,0.0938,0.9691,t
-0.0469,0.0938,0.9766,t
-0.0331,0.1007,0.9847,t
-0.0281,0.1094,0.9784,t
-0.0525,0.1094,0.9691,t
-0.0625,0.1094,0.9691,t
-0.0538,0.1094,0.9691,t
-0.035,0.1094,0.9728,t
0.0625,-0.2501,0.9378,s
0.0625,-0.2501,0.9222,s
0.0625,-0.2501,0.9378,s
0.0469,-0.2345,0.9378,s
0.0625,-0.2501,0.9378,s
0.0625,-0.2501,0.9378,s
0.0625,-0.2657,0.9378,s
0.0625,-0.2345,0.9534,s
0.0625,-0.2501,0.9222,s
0.0782,-0.2345,0.9378,s
0.0469,-0.2345,0.9378,s
0.0469,-0.2501,0.9378,s
0.0625,-0.2501,0.9378,s
0.0625,-0.2501,0.9528,s
0.0625,-0.2501,0.9534,s
0.0625,-0.2501,0.9397,s
0.0625,-0.237,0.9509,s
0.05,-0.247,0.9409,s
0.0588,-0.2501,0.9378,s
0.0513,-0.2501,0.9491,s
0.0575,-0.2607,0.9534,s
0.0525,-0.2557,0.9434,s
0.0469,-0.2501,0.9472,s
0.0469,-0.2326,0.9622,s
0.0631,-0.2269,0.9609,s
0.0706,-0.242,0.9534,s
0.0625,-0.257,0.9466,s
0.0563,-0.2595,0.9378,s
0.0581,-0.2445,0.9378,s
0.0731,-0.2395,0.9378,s
0.0625,-0.2501,0.9378,s
0.0625,-0.2463,0.9378,s
0.0625,-0.2376,0.9347,s
0.06,-0.2476,0.9247,s
0.0469,-0.2382,0.9378,s
0.0494,-0.2645,0.9378,s
0.0782,-0.2501,0.9378,s
0.0469,-0.2345,0.9378,s
0.0782,-0.2501,0.9378,s
0.0625,-0.2501,0.9222,s
0.0625,-0.2657,0.9378,s
0.0625,-0.2501,0.9378,s
0.0469,-0.2657,0.9222,s
0.0469,-0.2501,0.9378,s
0.0469,-0.2501,0.9534,s
0.0782,-0.2501,0.9534,s
0.0469,-0.2501,0.9534,s
0.0469,-0.2501,0.9378,s
0.0469,-0.2501,0.9534,s
0.0469,-0.2345,0.9378,s
0.0625,-0.2345,0.9534,s
0.0625,-0.2345,0.9222,s
0.0782,-0.2345,0.9534,s
0.0625,-0.2501,0.9378,s
0.0469,-0.2501,0.9378,s
0.0625,-0.2501,0.9378,s
0.0625,-0.2501,0.9378,s
0.0625,-0.2345,0.9534,s
0.0625,-0.2345,0.9378,s
0.0469,-0.2345,0.9222,s
0.0625,-0.2501,0.9378,s
0.0625,-0.2345,0.9222,s
0.0625,-0.2657,0.9222,s
0.0475,-0.2207,0.9522,s
0.0469,-0.2763,0.9247,s
0.0606,-0.2401,0.9497,s
0.0625,-0.2345,0.9403,s
0.0375,-0.2345,0.9378,s
0.055,-0.2582,0.9497,s
0.0625,-0.2545,0.9534,s
0.0625,-0.2501,0.9428,s
0.0525,-0.2401,0.9478,s
0.0563,-0.2438,0.9441,s
0.0625,-0.2588,0.929,s
0.0544,-0.2576,0.9303,s
0.0469,-0.2501,0.9453,s
0.0469,-0.2501,0.9328,s
0.0469,-0.2438,0.919,s
0.0525,-0.2401,0.9378,s
0.0575,-0.2451,0.9428,s
0.0469,-0.2388,0.9491,s
0.0506,-0.2463,0.934,s
0.0625,-0.2376,0.9253,s
0.0625,-0.2501,0.9378,s
0.0625,-0.2501,0.9378,s
0.0625,-0.2501,0.9378,s
0.0625,-0.2501,0.9378,s
0.0625,-0.2501,0.9534,s
0.0469,-0.2501,0.9378,s
0.0625,-0.2501,0.9378,s
0.0625,-0.2501,0.9378,s
0.0625,-0.2345,0.9534,s
0.0625,-0.2345,0.9222,s
0.0625,-0.2188,0.9222,s
0.0625,-0.2345,0.9534,s
0.0625,-0.2501,0.9691,s
0.0625,-0.2501,0.9378,s
0.0625,-0.2345,0.9378,s
0.0625,-0.2501,0.9378,s
0.0625,-0.2501,0.9378,s
0.0625,-0.2501,0.9534,s
